nom_station;nbre_pdc;puissance_nominale;gratuit;consolidated_longitude;consolidated_latitude
NIMES - Rue Vincent Faïta;2;22;TRUE;4.372324;43.846372
CSE - BdF - Concarneau;2;22;0;-3.93;47.87
IGNY - LOR METE;2;22000;false;2.222766;48.739605
Guidel - Route de Kerbrest;2;18;false;-3.526174;47.772376
AGEN - Carnot;2;3.7;false;0.620523989200592;44.2042350769043
VIC-SUR-CERE - Rue Du 19 Mars 1962;2;50.0;false;2.62621808052063;44.97811508178711
CROZANT;2;22;False;1.621857810756655;46.38979827128929
Nissan Arles;2;50.00;false;4.641139;43.664294
Kia Istres;3;22.08;false;4.977754;43.49951
Metropolis - Proximité - Issy-les-Moulineaux - Garibaldi;1;7.00;false;2.26128899;48.82162691
SAINT PARGOIRE - Parking Du Stade;2;22;TRUE;3.5193472;43.5296611
FONTENAY-SAINT-PERE - Rue Pasteur;2;3.7;false;1.751315951347351;49.2738571166992
DOUAI - Place du Barlet;2;3.7;false;3.0822880268096924;50.364925384521484
"Châtillon-Sur-Cluses; Route de Taninges";2;22;false;6.58349;46.08865
Fiat Dijon;7;22.08;false;5.068043;47.352239
Imocom Vernouillet;3;50;false;1.3710445;48.7174795
"Chambery; Rue d'Anjou";2;22;false;5.916712;45.588654
TAVEL - Parking Mairie;2;18.0;false;4.697965145111084;44.13755798339844
GRASSE PARKING PLACE DU COURS HONORE CRESP;2;3;false;6.920399;43.656429
NEVEZ-RUE DE PORT MANECH;2;22000;false;-3.791397;47.818333
Intermarché Super Hersin Coupigny;3;60;false;2.63803;50.452748
Opel Beaurains;5;22.08;false;2.79696;50.265598
APRR L'ALLIER SAULZET;1;300;false;2.801309;46.355503
PERIGUEUX - PARKING RUE 26EME REGIMENT DINFANTERIE;2;22000;false;0.711979;45.180084
CHATEAULIN-D88;2;22000;false;-4.05061;48.21619
AGDE CLAPE  - Rue Du Gouverneur;2;22;false;3.518019437789917;43.28561019897461
MONTFERRIER - Place De L'Eglise;2;22.0;false;1.7952090501785278;42.8953857421875
"Roanne; Parking de La Berge";2;44;false;4.071406;46.033345
LILLE - Vieux Lille;7;7.4;TRUE;3.06407;50.641598
Norauto 22kVA Borne 1;1;22;TRUE;6.315221;46.074003
CUISERY - Chemin des Bruyères;1;7.4;false;4.98656702041626;46.55924606323242
"CORNUS - D7; Rue Du Cimetière";2;3.7;false;3.178723096847534;43.900394439697266
Ford Besançon;5;22.08;false;5.953387;47.216517
St Amand Montrond - Cour Manuel 2;2;18;false;2.5072402;46.7209067
COMPTEUR LORIOL 1;3;12;false;4.99;44.08
NÎMES - Arènes;15;11;TRUE;4.36158;43.8339
SUPER U ROSPORDEN (29);2;22;false;-3.8498481;47.9641685
"Romans-Sur-Isère; Delay";2;22;false;5.05015;45.0492
OuestCharge - Diva Sp - Boussay - Cathelineau;2;22;false;-1.18643;47.042495
VILLEJUST - ROUTE DE VILLEBON;2;22000;false;2.236749;48.68372
FOUGERES – URBANISTE RUE DE LA FORET;2;22000;false;-1.197093;48.357157
PUSIGNAN - RUE DE LEGALITE;2;22000;false;5.066882;45.75491
BRANTOME - CHEMIN DU VERT GALANT PARKING DES RECLUS;2;22000;false;0.648179;45.36924
"Toulon; Pkg. du parc Des Lices 2";2;22;false;5.93622;43.127107
Mercedes Bellerive;3;22.08;true;3.401355;46.125734
parking;1;22;false;0.18225850129804153;44.677126551459914
NOISY LE SEC - Rue Marc Sangnier;4;7.4;TRUE;2.4587376;48.8954796
DAX - HOPITAL;4;50000;false;-1.041901;43.711033
CCTLB AZERAILLES - PARKING RICHEZ;2;22000;false;6.694515;48.487852
SAINT-RÉMY-DU-NORD - Rue de la Place;2;3.7;false;3.9055280685424805;50.23139572143555
Boulleret;2;18;false;2.8732176;47.4239562
OuestCharge - Diva Sp - Sainte-Gemmes-sur-Loire - Mairie;2;22.00;false;-0.55671;47.422724
TOULOUSE - Marengo;4;30;TRUE;1.456444;43.610111
AVENUE DU GENERAL DE GAULE - LES ANGLES;2;22;FALSE;4.764347;43.958037
e-Fast 150kW - Parc commercial aéroport Poitiers-Biard;5;150;false;0.3126718;46.585065
OuestCharge - Diva Sp - Saint-Lumine-De-Clisson - Tilleuls;2;22.00;false;-1.337741;47.082876
OuestCharge - Diva Sp - Bourgneuf-En-Retz - Vigne;2;22.00;false;-1.95605;47.041524
ROSHEIM - Rue de la Liberté - Parking du Neuland;2;22;TRUE;7.480322;48.501264
DAINVILLE - allée du 8 mai 1945;2;22.0;false;2.730407953262329;50.282615661621094
Socanparc - Lafcadio;2;22;false;-61.06751;14.608331
Mornas les Adrets;1;50;false;4.723547;44.215608
LABOUHEYRE - PARKING DE LA GARE;2;22000;false;-0.920244;44.211601
SAINT CIERS D ABZAC - RUE MONTAIGNE;2;22000;false;-0.276985;45.030991
FOURMIES - Rue de Grenoble;2;22;TRUE;4.0535;50.0151944
BOUGIVAL -  Rue Saint Michel;2;22.0;false;2.139219045639038;48.862525939941406
SAINT GELY DU FESC - Avenue Du Pic Saint Loup;2;22;false;3.8070430755615234;43.69375228881836
OuestCharge - Diva Sp - Laval - Hercé;2;22.00;false;-0.7716565;48.0655286
COURBEVOIE - Rue de l'Alma - Parking Charras;30;3.7;TRUE;2.25412;48.89558
VALENCIENNES - Rue du Dauphiné;3;22.0;false;3.5154359340667725;50.33942413330078
FOUGERES - ESPLANADE DES CHAUSSONIERES;2;22000;false;-1.194246;48.349651
CROCQ;2;50;False;2.3670760395894566;45.86830223684359
SALLES CURAN - Place Du Foirail;2;3.7;false;2.78813099861145;44.1816520690918
"Château-Bernard; Parking de l'Eglise";2;22;false;5.5761418;44.9751199
VERS-PONT-DU-GARD - Parking Pont Du Gard - Rive Gauche;2;7.4;TRUE;4.534917;43.953318
SIGEIF - 43 RUE DE LA HALTE PARKING GARE ERMONT HALTE - ERMONT;1;22000;false;2.26261;48.9898
"Bouc-Bel-Air; Boulevard Montesquieu";2;22;false;5.423155;43.44122
DARDILLY PORTE DE LYON;1;22;0;4.762575;45.82169
VALBONNE - PARKING NAUTIPOLIS;2;22000;false;7.054662;43.62566
MONTPELLIER - Route De Gange;2;3.7;false;3.8486850261688232;43.63483810424805
Hôtel Le Cheval Blanc 13;2;12;false;4.62;43.67
Aire de Saint Ambreuil;8;300;false;4.844761236754013;46.69092869473468
19 ALLÉE JAMES WATT 33700 MERIGNAC;10;22;0;-0.67366;44.8294
HARDIFORT - Contour De L'Eglise;2;22.0;false;2.4858269691467285;50.82133483886719
LOUVECIENNES - Rue St Michel;2;22;TRUE;2.1234194;48.8609472
ARCUEIL - Rue Paul Bert;4;3.7;false;2.328829050064087;48.80406188964844
CASTRES  - Boulevard Vittoz;2;22;false;2.24343204498291;43.603248596191406
GOLINHAC - Le Bourg D519;2;3.7;false;2.581976890563965;44.6051139831543
HOTEL MAISON DES CONSULS;3;12;false;1.8745895;43.088683
"Sisteron; Parking de La Gare";2;44;false;5.94565;44.1913
URRUGNE - PARKING DABBADIE;2;22000;false;-1.697669;43.363674
